Temperature,SsWT,SsWT,SsWT,I45A/S70A,I45A/S70A,I45A/S70A,SsWT,SsWT,SsWT,I45A/S70A,I45A/S70A,I45A/S70A,I45A,I45A,I45A,I45A/M73A,I45A/M73A,I45A/M73A,I45A,I45A,I45A,I45A/M73A,I45A/M73A,I45A/M73A,I45K,I45K,I45K,I45K/S70A,I45K/S70A,I45K/S70A,I45K,I45K,I45K,I45K/S70A,I45K/S70A,I45K/S70A,S70A,S70A,S70A,I45K/I107A,I45K/I107A,I45K/I107A,S70A,S70A,S70A,I45K/I107A,I45K/I107A,I45K/I107A,M73A,M73A,M73A,M73A/I107K,M73A/I107K,M73A/I107K,M73A,M73A,M73A,M73A/I107K,M73A/I107K,M73A/I107K,I107A,I107A,I107A,I45K/I107K,I45K/I107K,I45K/I107K,I107A,I107A,I107A,I45K/I107K,I45K/I107K,I45K/I107K,I107K,I107K,I107K,S70A/I107K,S70A/I107K,S70A/I107K,I107K,I107K,I107K,S70A/I107K,S70A/I107K,S70A/I107K,dye only,dye only,dye only,buffer ,buffer ,buffer ,dye only,dye only,dye only,buffer,buffer,buffer
30,48.21342088,27.2289032,142.1477781,165.06063,186.1359049,205.6290974,176.6853708,194.1211714,201.496753,162.4473525,223.3951106,131.3661462,25.93875835,61.00433759,185.5000508,-22.12908724,14.17808568,108.2840884,216.4702229,213.73434,229.1480368,29.24291288,103.7579606,55.8864875,166.959223,108.7836213,181.2854348,185.5271139,195.2701895,206.9294568,247.9321295,245.8823913,254.103721,225.2318897,189.955689,238.8699196,77.23244398,199.7292128,206.8761116,191.8796329,216.7390322,199.1738145,213.8836463,243.4628741,237.8203074,149.9298959,251.83436,258.8231229,21.04911517,150.7887238,141.0630018,6.36753835,210.9931841,94.06837394,119.5289698,247.4843556,235.0808284,41.02148421,90.45894771,-10.84071309,137.2386626,194.2817513,145.7784104,161.422281,183.0866509,189.2836945,194.5031134,191.3219844,182.3724243,183.9400821,238.2092013,234.1551757,99.93275714,206.8967433,183.5307836,159.7760935,202.9304014,217.4629534,246.0577292,218.6609991,281.9169645,189.9198154,227.0948373,227.1815334,5.789921375,6.075360156,7.613449135,1.397985755,0.863529197,1.300478265,5.262785377,5.054414577,8.185689682,4.046904419,2.891712815,3.371363258
30.5,42.82358617,20.48550816,119.3999627,144.1846253,162.6169543,189.1502472,156.5197792,174.2728095,174.4265355,148.4107745,200.5501225,104.8393723,13.7744591,37.59154808,164.5873061,-68.16845141,-12.32468413,82.45913205,195.9124517,186.5458982,210.719066,-20.10695721,81.28923097,25.60031536,145.3925312,88.86056502,162.626341,166.4344581,172.6779378,184.2866727,225.8553987,222.8843402,234.9323281,209.2150517,173.6242385,219.4221505,61.12808634,181.4846568,186.7818295,168.3397963,190.6915016,174.6769817,189.7954677,224.3372065,218.0017424,124.5383769,231.9709667,236.8200293,2.120396303,127.0951028,115.7507629,-36.976315,175.1039825,55.49392413,102.5342482,211.0267215,204.5151791,-9.073865887,75.23749854,-34.22442026,106.835461,162.9641033,115.4167863,144.6469804,155.0418372,166.2799037,161.0477686,159.6748476,151.4674383,175.9844425,220.437636,212.0631197,55.5231072,193.7750352,157.0670697,136.9258172,184.4719058,196.8965231,229.5538705,190.9807231,262.2070306,165.5161183,197.5651429,201.8818231,5.781645045,5.574377931,7.013553871,1.697129465,0.675993561,1.014327818,4.394627222,5.162082302,7.620670293,3.425165369,2.19445926,3.12886377
31,35.77018907,14.23795096,98.49904194,124.6209336,139.9440456,173.3748334,136.2252717,152.6798022,147.4942395,133.2585207,174.826951,79.21184956,5.956668438,15.87338288,144.5082935,-104.5788887,-37.37182444,56.60648861,176.5796004,161.0944245,192.1817071,-64.75690931,59.41024641,-6.681928312,124.9365447,67.44197602,143.727122,147.488055,150.8433704,162.2485367,202.1887381,198.8548382,215.0146619,193.6720956,158.0071199,198.8406971,47.05241259,165.0848481,167.4028312,146.4582658,164.8139993,151.6534301,164.644252,203.2420401,199.7236386,100.8560507,213.7801572,213.9627661,-16.48786832,104.7374208,91.11009515,-79.28493955,141.7516652,20.54543714,86.14161012,170.858285,174.3128228,-59.30718064,61.88576901,-51.49210755,74.60559433,133.8644545,85.89804917,129.9369496,128.0814614,141.4691029,123.7515496,126.8049069,121.3775799,161.1771374,203.046087,192.7289957,13.07342909,179.6011708,130.6233726,117.6823029,166.6156084,176.1441935,213.0794653,163.6603636,244.1086056,142.1909421,168.4760235,172.7299486,5.780705664,5.095467169,6.522994405,2.027987517,0.769645459,1.138783093,3.869571522,5.238159717,7.139721368,2.525054402,1.545321524,2.612305531
31.5,26.4688617,8.872160791,79.15953718,104.545754,116.5973433,158.3681534,116.2863303,130.6118983,121.1057618,118.9422595,147.3421455,56.18888168,-1.932282845,-2.621676338,124.7783586,-131.9369593,-63.78578384,30.35174682,156.2644609,135.4450271,173.9856192,-105.8523349,35.18604678,-39.68758615,105.0658199,45.53291341,124.6176909,129.3930478,130.4747831,140.5849056,177.6480953,173.3924465,194.9429591,179.5010656,143.9228523,176.943215,34.20056075,148.8411273,147.3096329,124.6496682,139.4447333,129.0491775,139.6526783,180.3089105,181.4601633,79.80406276,197.3074287,191.2791764,-35.14060021,83.47420626,67.06074048,-120.3847092,109.2219087,-12.0023117,71.86838774,126.6945801,144.3137867,-111.0499271,48.38270363,-64.28375688,42.40592836,105.8951684,57.50370435,115.1873875,101.0429404,113.9540215,83.55371598,93.78284822,90.87877209,136.9825159,187.1692749,174.2177217,-24.94116056,163.2544023,105.0846481,99.63495473,149.810351,154.7730578,196.4362308,135.1076878,226.3734909,118.4887087,138.9545033,139.2268762,5.749604608,4.847273972,6.367208728,2.130389981,1.093526821,1.556906173,3.857673715,4.649456455,6.372014789,1.568117007,1.246353222,2.324331466
32,15.76079959,3.196029557,60.61551577,83.9349848,93.12403849,143.9083654,94.31833996,106.7216098,95.54522167,104.2672926,121.3101822,36.76510718,-10.64569509,-16.97438873,106.9350718,-153.4749316,-91.54924262,4.200917563,133.9691608,111.0149232,155.3666557,-141.6456275,10.27666163,-71.06755396,84.88212907,24.34858795,104.5595507,110.8609424,111.1402685,117.9264987,150.3120946,146.8087776,175.0112729,165.6913546,131.0334302,153.802392,23.53019822,131.6941457,128.2968599,103.0073779,115.1721116,103.8017199,114.2077685,157.26414,163.2358139,59.90158761,180.7367936,167.6478771,-53.57232126,61.79841998,42.20410277,-153.759509,77.44077938,-41.47119406,58.82633223,81.84154376,113.5702113,-161.1955594,30.8136109,-72.72719738,10.29229823,76.9137413,29.77205078,98.2056503,73.89316724,83.94925885,41.42116652,58.23187139,59.5897016,106.5527167,171.9318547,156.0852068,-54.51307629,145.3928485,80.19046494,82.16977925,130.9756881,131.9979566,178.3671315,104.9687285,207.8797438,93.77943346,108.3552342,101.6732354,5.720546289,4.390351542,5.872164186,1.928789901,0.990014215,1.686560322,3.533584927,3.995157044,5.361929611,0.937842377,1.004256338,1.759898028
32.5,6.094862952,-1.872980979,44.3086664,64.89016331,72.02597145,129.5366059,70.2737914,81.26180628,72.07702644,88.36859222,97.06402364,22.25375709,-17.35714074,-27.06796799,91.15579648,-165.8907508,-118.1283115,-18.76635702,112.8024726,90.95180143,136.7470495,-167.161318,-11.00499204,-99.96761468,65.75178243,6.217473117,86.62255151,93.41270155,93.58335338,96.80288423,119.2769621,120.0119901,156.6752599,153.3045513,118.1723056,130.4373595,15.99270514,114.6006074,111.5919413,84.0962609,93.46891509,79.42530704,89.84452391,135.0644769,147.1825051,40.61464513,165.487435,144.0503359,-71.31495256,41.90661094,17.86483931,-175.7935473,50.69284951,-63.09239884,46.06589575,38.57614471,84.35112095,-209.9618059,13.54744684,-77.21525132,-22.84779708,47.67545586,3.575212969,82.24414077,49.79627995,54.21885648,0.704972453,21.60936439,29.96882788,73.95397355,157.4728956,140.1661213,-67.97881595,126.9664879,57.8233815,68.26780003,110.6982824,108.1192987,160.0806984,73.71227918,191.0695967,71.61332987,78.71017197,62.34252547,5.592018213,3.998897679,5.38501353,1.420228062,1.047095399,1.787052284,3.548138812,3.84507452,4.685530561,0.68358669,1.173086109,0.969574511
33,-1.731450366,-5.448960961,30.86889076,47.23279647,52.03830899,115.5712875,45.37924388,55.6065939,50.02762722,72.93259218,73.51990056,13.4634221,-24.13879215,-33.77832723,76.54920471,-171.2998617,-143.9180667,-38.23744502,92.51450173,73.50101937,119.3250383,-184.0612554,-30.61979319,-126.5962085,50.74491046,-8.189250594,71.98509787,79.82636416,77.52999154,78.50620503,86.06192132,92.40994798,140.1883683,143.0256602,105.5822647,106.8383195,10.0191948,96.99856651,95.38790515,68.00174903,73.21690864,56.66001444,66.65292451,114.4409152,132.12618,22.7250055,152.3600509,121.0502178,-88.42788259,24.00563143,-5.91630203,-192.5654201,27.91206807,-80.08887091,33.15766095,-4.123366883,56.71306149,-260.1046035,-1.650604696,-84.39971994,-59.48224523,15.10230518,-21.47472897,67.41107681,27.60767527,26.7766062,-39.72537745,-14.2341344,-0.003670771,41.14621879,144.4756791,122.9144493,-63.1507328,107.6475903,37.97617563,56.44289915,88.41118462,82.47878038,140.5066104,38.952162,176.1229065,53.2819321,51.08352612,21.87504318,5.359006933,4.440281427,5.626769992,1.166090801,1.582116857,1.737564693,4.099139248,3.513807827,4.529912194,0.485658168,1.619223386,0.296943217
33.5,-7.866839165,-8.747760168,18.26748523,30.58524223,31.6999884,102.4094205,20.52523596,29.0250267,25.85373518,58.26257661,51.73377565,8.481960319,-33.12390625,-38.76511282,62.31525527,-177.0658079,-169.5054585,-56.11577279,70.63389104,55.91562875,101.8220294,-196.1592236,-50.51300845,-151.1250708,39.80424346,-20.50054797,58.86775118,68.89901942,60.21055443,59.86307151,50.97602341,63.20513763,123.2176104,133.1516091,93.82867028,81.71985748,3.892671649,77.52681513,80.33962189,51.17405924,52.46780685,31.449213,43.43751519,93.63115533,116.0223443,5.719279457,138.6102249,95.94157174,-105.8567484,5.198629365,-31.26768644,-208.2349556,3.86184242,-97.5673766,16.60045573,-46.19528045,26.57051369,-304.4864701,-18.71486514,-98.10337036,-104.1495855,-25.70892197,-48.50018538,50.2993788,4.482447723,0.870090669,-82.06604731,-52.10284277,-32.0915033,9.971959929,131.8946237,101.9386857,-45.90042064,86.58022549,17.74013213,42.37294447,60.15744342,52.93256303,115.8270865,1.086776449,161.2628692,37.82420146,24.89032369,-19.82545974,5.186171848,4.678434336,5.752023117,0.691830266,1.814630235,1.498239222,4.337812462,3.007375071,4.543595777,0.113261349,1.862873659,0.116792964
34,-10.52066338,-11.70357025,7.194150955,17.65700102,12.30559209,88.33230798,-3.011501707,1.471322901,-1.518201304,44.07840888,30.50902431,5.422427048,-42.15820051,-43.13726451,48.27179439,-184.1468485,-191.3220139,-73.74106828,48.28072918,38.85045609,83.472679,-202.8781844,-70.06667244,-175.8707104,33.2351493,-31.49820661,47.46202312,58.80578744,41.65862272,38.982328,14.79588319,33.13228555,105.5821022,122.4447237,82.04426113,54.87364602,-2.050687721,56.30221599,67.25401317,33.84742129,32.30457309,4.210909375,21.12336088,72.37476544,99.5641319,-11.14193745,122.7890323,67.41102066,-124.1019253,-14.86967109,-57.98037508,-222.5231306,-20.22910663,-112.4174505,-6.711862531,-86.94334665,-6.395163924,-337.7781901,-34.4782154,-118.1913733,-158.6886409,-74.5556223,-79.23073096,33.52241978,-17.95377192,-22.56394038,-125.6276875,-90.13895623,-66.77423884,-15.65659499,118.1634355,78.22269625,-22.38885497,62.71330354,-3.424193397,26.80067641,27.78477113,20.54102901,83.97074358,-36.40504104,146.6021566,25.39826308,0.174666918,-60.85189205,5.089771252,4.208187421,5.507846447,0.290599959,1.65045442,1.162388546,3.856910467,3.201736557,4.492315126,0.370946653,1.705608355,0.308892538
34.5,-9.918103799,-13.29793469,-2.778893244,9.998108562,-4.474893075,74.49917255,-21.35987457,-24.04950332,-30.17886801,32.78366297,9.22985545,5.181512342,-50.09035286,-47.87550138,32.67659548,-192.36197,-208.0466026,-91.33108101,28.6514266,21.18154595,65.95487818,-206.9107193,-96.17596608,-203.0537438,30.68073478,-40.21478791,38.7324414,51.42015554,21.7451296,17.60585348,-19.95007834,2.926933447,87.91669961,111.7520137,69.10655135,27.28369185,-9.626572734,34.73256057,54.81464539,16.40246218,11.24340275,-21.22928834,1.170189126,50.62118659,82.95426669,-26.79659097,103.9162962,35.86972368,-142.2886416,-36.45990069,-86.54891573,-241.0329134,-46.36027723,-128.4183312,-37.44011282,-129.6360722,-43.22227531,-361.7135416,-49.42678446,-148.089797,-220.5324521,-129.0516668,-115.8437846,16.81111728,-39.10426315,-44.01796511,-169.3906593,-126.3970112,-105.4017826,-36.57853088,103.0417108,47.04447726,0.230118286,34.31439959,-24.51698649,10.0561447,-4.175953089,-12.03472448,44.87283262,-74.01948183,132.6176338,14.09898046,-23.06694368,-97.94942217,5.201934167,4.1154472,5.256667359,0.572496267,1.525786211,0.985263904,3.810734055,3.31933531,4.407077084,0.567632212,1.532981134,0.135234198
35,-7.510986473,-14.42003422,-13.98559411,7.395479125,-18.00714267,64.0436388,-30.98608579,-46.31919337,-57.64029275,25.73754236,-9.989097735,6.947769291,-56.71737274,-51.64064812,15.38349539,-204.1140753,-220.1248032,-109.4107344,9.867584975,1.21183328,48.00786704,-213.5580016,-131.0895602,-230.1970226,31.20411247,-47.25358375,31.34219335,46.62203468,1.025827237,-3.15412331,-48.81218321,-25.6759568,70.00057288,102.0836175,56.03620475,-0.015046306,-20.03687723,14.87813992,43.49409497,-2.262649411,-11.32964866,-45.20677731,-14.90605329,27.64471606,65.08500891,-39.23122216,82.18410636,-0.270366029,-159.4075549,-59.92016421,-117.7784713,-263.3473219,-78.90627369,-149.88361,-74.37957133,-173.2792254,-83.25706967,-373.1765448,-68.26761272,-185.2534725,-286.7490873,-188.4003042,-158.872888,-0.887935295,-59.84740719,-63.67544479,-213.381248,-159.509737,-148.2210161,-53.23626879,86.78882574,7.455722901,14.96814788,2.518416602,-43.99290991,-6.646548748,-33.64200672,-42.35084612,-2.024563968,-107.3325654,118.6491073,2.630932153,-45.2328184,-128.4429174,4.892157357,3.984092534,5.566383679,1.423229831,1.490587493,1.057718063,3.865241482,2.868438969,4.617191779,0.342572111,1.55273713,0.562164381
